Jahr,Bevoelkerung
1950,2.91
1951,2.92
1952,2.93
1953,2.92
1954,2.90
1955,2.89
1956,2.87
1957,2.85
1958,2.84
1959,2.82
1960,2.81
1961,2.81
1962,2.81
1963,2.82
1964,2.84
1965,2.85
1966,2.87
1967,2.88
1968,2.90
1969,2.92
1970,2.94
1971,2.97
1972,3.01
1973,3.06
1974,3.11
1975,3.16
1976,3.21
1977,3.25
1978,3.31
1979,3.35
1980,3.39
1981,3.42
1982,3.45
1983,3.47
1984,3.49
1985,3.51
1986,3.52
1987,3.51
1988,3.50
1989,3.48
1990,3.49
1991,3.50
1992,3.53
1993,3.55
1994,3.56
1995,3.58
1996,3.61
1997,3.64
1998,3.68
1999,3.72
2000,3.77
2001,3.83
2002,3.89
2003,3.96
2004,4.03
2005,4.12
2006,4.23
2007,4.36
2008,4.45
2009,4.50
2010,4.52
2011,4.54
2012,4.56
2013,4.59
2014,4.62
2015,4.67
2016,4.72
2017,4.77
2018,4.83
2019,4.90
2020,4.95
