stn;time;tre200h0
DAV;2021122400;-1.5
DAV;2021122401;-2.2
DAV;2021122402;-2.5
DAV;2021122403;-2.8
DAV;2021122404;-2.6
DAV;2021122405;-2.4
DAV;2021122406;-2.5
DAV;2021122407;-2.6
DAV;2021122408;-1.8
DAV;2021122409;-1.1
DAV;2021122410;-0.3
DAV;2021122411;1.7
DAV;2021122412;2.3
DAV;2021122413;2.8
DAV;2021122414;2.7
DAV;2021122415;2.3
DAV;2021122416;1.0
DAV;2021122417;-0.4
DAV;2021122418;-0.9
DAV;2021122419;-0.7
DAV;2021122420;-1.6
DAV;2021122421;-1.9
DAV;2021122422;-2.0
DAV;2021122423;-1.8
DAV;2021122500;-2.4
DAV;2021122501;-2.3
DAV;2021122502;-2.3
DAV;2021122503;-2.6
DAV;2021122504;-2.6
DAV;2021122505;-2.7
DAV;2021122506;-2.6
DAV;2021122507;-3.0
DAV;2021122508;-2.7
DAV;2021122509;-1.6
DAV;2021122510;-0.3
DAV;2021122511;1.1
DAV;2021122512;3.4
DAV;2021122513;3.9
DAV;2021122514;3.2
DAV;2021122515;1.7
DAV;2021122516;0.6
DAV;2021122517;-0.5
DAV;2021122518;-1.0
DAV;2021122519;-1.6
DAV;2021122520;-1.8
DAV;2021122521;-1.8
DAV;2021122522;-2.1
DAV;2021122523;-2.5

