stn;time;prestah0;tre200h0;rre150h0;su2000h0;time_diff
GVE;2021-11-01 00:00:00;958.1;13.7;2.0;0.0;0.0
GVE;2021-11-01 01:00:00;957.8;13.2;1.0;0.0;1.0
GVE;2021-11-01 03:00:00;957.7;12.3;3.9;0.0;3.0
GVE;2021-11-01 04:00:00;958.0;11.7;3.4;0.0;4.0
GVE;2021-11-01 05:00:00;958.3;11.0;2.3;0.0;5.0
GVE;2021-11-01 06:00:00;958.9;10.6;2.1;0.0;6.0
GVE;2021-11-01 07:00:00;959.6;10.2;4.2;0.0;7.0
GVE;2021-11-01 08:00:00;960.0;9.8;0.8;0.0;8.0
GVE;2021-11-01 09:00:00;960.1;9.8;0.5;0.0;9.0
GVE;2021-11-01 10:00:00;960.1;10.0;1.2;0.0;10.0
GVE;2021-11-01 11:00:00;959.9;10.0;0.8;0.0;11.0
GVE;2021-11-01 12:00:00;959.1;11.0;0.0;0.0;12.0
GVE;2021-11-01 13:00:00;958.7;11.1;0.1;0.0;13.0
GVE;2021-11-01 14:00:00;958.2;11.0;0.0;0.0;14.0
GVE;2021-11-01 16:00:00;957.9;10.9;0.0;0.5;16.0
GVE;2021-11-01 17:00:00;958.2;9.7;0.0;0.0;17.0
GVE;2021-11-01 19:00:00;958.9;8.0;0.0;0.0;19.0
GVE;2021-11-01 21:00:00;958.7;8.2;0.0;0.0;21.0
GVE;2021-11-01 22:00:00;958.6;8.7;0.0;0.0;22.0
GVE;2021-11-01 23:00:00;958.2;8.0;0.0;0.0;23.0
GVE;2021-11-02 00:00:00;957.9;6.8;0.0;0.0;24.0
GVE;2021-11-02 01:00:00;957.5;6.0;0.0;0.0;25.0
GVE;2021-11-02 02:00:00;957.0;7.1;0.0;0.0;26.0
GVE;2021-11-02 03:00:00;956.5;7.9;0.1;0.0;27.0
GVE;2021-11-02 04:00:00;956.3;7.8;0.3;0.0;28.0
GVE;2021-11-02 06:00:00;957.0;8.0;0.3;0.0;30.0
GVE;2021-11-02 08:00:00;958.0;8.9;0.0;0.0;32.0
GVE;2021-11-02 09:00:00;958.2;9.6;0.0;0.0;33.0
GVE;2021-11-02 10:00:00;958.4;9.3;0.1;0.1;34.0
GVE;2021-11-02 11:00:00;958.7;10.2;0.0;0.5;35.0
GVE;2021-11-02 12:00:00;958.4;11.6;0.0;0.9;36.0
